ID	Tag	DataType	Name	Description	RpgId
1	CLN0000	0	Ronin		1
2	CLN0001	0	Clan du Crabe	Les robustes Crabes se disent les protecteurs de Rokugan chargés d'assurer l'étanchéité de la frontière méridionale de l'Empire contre tous les démons venus de l'Outremonde. Des siècles de guerres incessantes contre des adversaires inhumains ont fait des Crabes des guerriers pragmatiques particulièrement violents, ce qui explique certainement qu'ils fassent rarement preuve de politesses et de bonnes manières. Il n'est donc pas étonnant que les autres clans voient bien souvent en eux des barbares et des rustauds.	1
3	CLN0002	0	Clan du Dragon	Énigmatiques et mystérieux, les samourai du clan du Dragon empruntent leur propre voie depuis la fondation de l'Empire. Plus individualistes et plus détachés des richesses matérielles que les autres clans, les Dragons partagent beaucoup de points communs avec la confrérie de Shinsei, et ce malgré l'incroyable diversité de leurs familles.	1
4	CLN0003	0	Clan de la Grue	Connu depuis des siècles comme la main gauche de l'Empereur, le clan de la Grue se charge de préserver l'équilibre et l'intégrité des cours de l'Empire et de la société Rokugani en général. En tant que tel, les Grue excellent en matière de diplomatie et de politique. Par ailleurs, chacun les considère comme les maîtres incontestés des cours de l'Empire, avec tout le ressentiment que ce titre suscite auprès des autres clans.	1
5	CLN0004	0	Clan de la Licorne	Les Licornes, autrefois regroupées sous le nom de clan de la Ki-Rin, sont restés absents de l'Empire pendant près de huit siècles alors qu'ils parcouraient le monde, explorant et s'assurant qu'aucune menace extérieure ne planait sur l'Empereur. Depuis leur retour, beaucoup considèrent ces samourai comme des barbares et des étrangers sans doute parce qu'ils ont adopté des coutumes qui contrastent énormément avec celles de Rokugan. Cependant, on respecte énormément les Licorne pour leur cavalerie. Ils se servent de montures gaijin et leurs cavaliers n'ont pas d'égal dans l'Empire.	1
6	CLN0005	0	Clan du Lion	Le clan du Lion est la main droite de l'Empereur, le protecteur de ses terres et de sa personne, même si la famille Seppun et les Légions Impériales jouent aussi parfois ce rôle, faisant de bien tristes suppléments aux yeux du clan. Les Lions particulièrement militaristes possèdent la plus grande armée du monde connu. On les craint pour leur vaillance et on les respecte pour leur nature honorable.	1
7	CLN0006	0	Clan de la Mante	Le clan de la Mante présente de bonnes facultés d'adaptation tout en étant imprévisible. À ce titre, on le compare souvent à l'océan qu'il sillonne entre son île et le continent. La Mante ne compte pas parmi les clans majeurs d'origine, mais a gagné sa place durant l'un des plus importants conflits de l'histoire, la Guerre des Clans. Constituée de familles différentes des clans mineurs, elle offre sans doute le visage du clan majeur le plus varié et individualiste à la fois.	1
8	CLN0007	0	Clan du Phénix	En ce qui concerne les shugenja, l'Empire tout entier convient que les Phénix en abritent le plus vaste et puissant contingent de Rokugan. Les descendants de la tribu d'Isawa et ceux qui leur ont prêté allégeance maîtrisent des pouvoirs mystiques différents de ceux des autres clans. De plus, les serviteurs du Kami Shiba ont juré de les protéger pour l'éternité, quoi qu'il en coûte.	1
9	CLN0008	0	Clan du Scorpion	Quand l'Empire fut fondé, on confia aux Scorpion deux devoirs sacrés : protéger les Parchemins Noirs dans lesquels se trouvait liée la puissance du Dieu Sombre déchu Fu Leng, et servir en quelque sorte de félons contre l'Empereur. C'est dans cette seconde mission que les Scorpion ont tout particulièrement excellé, et il faut dire que le rôle leur sied à merveille.	1
10	CLN0009	0	Clan de l'Araignée	Usurpateur d'un titre devenu sien par héritage mais non sur décret impérial, le clan de l'Araignée revendique le statut de clan majeur alors que nul ne l'a jamais reçu d'un quelconque Empereur de Rokugan. Mais comme tous les autres clans, il dispose d'un Kami. Un Kami déchu, certes, puisqu'il s'agit du dieu Sombre Fu Leng. Ambitieuse et secrète, l'Araignée épouse à bras le corps le chaos, la cruauté, la corruption spirituelle et des formes de sorcellerie reconnues comme des perversions de l'ordre naturel.	1
